user,time,star,comment
Lộc Trần,"3 tháng 1, 2022",5,Đơn hàng quá hạn giao hàng mà hỏi nhân viên cskh thì toàn thấy các câu trả lời lòng vòng. 4 lần hỏi là 4 lần sao y văn mẫu. Nhân viên ko trả lời được câu hỏi là tự ý kết thúc phiên trò chuyện. Thái độ quá kém và thiếu chuyên nghiệp!!!
Hoàng Hồng Nhạn,"3 tháng 1, 2022",1,"Với rất nhiều sản phẩm mà có khoảng giá, giá thấp nhất của nó ko phải giá của sp được đăng tải mà lại là giá của 1 sản phẩm khác được đặt trog phần kích thước sp đó. Khi cho vào giỏ hàng mới xuất hiện. Như vậy là ko đúg khi ng dùg muốn lọc giá từ thấp đến cao. Điều này khiến tôi ko hài lòg, khiến tô...Bài đánh giá đầy đủ"
Hoàng Hồng Nhạn,"4 tháng 1, 2022",3,Tôi không còn còn gì đễ nói tuyệt vời
Nhung Văn,"4 tháng 1, 2022",5,Giao diện app trắng xoá thế là thế nào
Nhung Văn,"4 tháng 1, 2022",4,Shoppe nơi của mọi sự lựa chọn của mik
Duyên Võ,"4 tháng 1, 2022",5,Giao hàng hơi chậm nhưng mà hàng rất đẹp
Duyên Võ,"6 tháng 1, 2022",5,Cập nhật rồi mà vẫn sài bị lỗi app ngộ v??
My Be,"1 tháng 1, 2022",5,Đơn vị vân chuyển của Sh**** quá chậm.
Tài Trần,"1 tháng 1, 2022",2,Cũng oke mà đăng nhập kh đc luôn ấy?
Tài Trần,"6 tháng 1, 2022",5,Clmm tụi m ở đâu tụi m cũng quảng cáo
Duy Nguyen,"6 tháng 1, 2022",1,Tết nhất mà có kẹt biên hàng về đc hay không gì thì cũng thông báo một tiếng cho ng ta khỏi chờ Mình có 10 đơn hàng qte mà thông quan từ đợt 21/12 tới h kh có tung túch gì luôn. Nhắn tin cskh 3 lần rồi mấy bạn trả lời cho có chứ giải quyết được gì. Chúc mừng các bạn đã mất 1 khách hàng kim cương như...Bài đánh giá đầy đủ
Duy Nguyen,"4 tháng 1, 2022",1,"Cập nhật đơn hàng chậm, không theo dõi được đơn hàng."
Van Truong,"5 tháng 1, 2022",3,"Thích lắm , nhưng mà tốn tiền rất nhiều"
Van Truong,"6 tháng 1, 2022",5,Sh**** chưa bao giờ làm em thất vọng ❤
